line,rep,canopy_score,flowering_das,plant_ht,anthesis_biomass,peduncle_length,plot_yield
26,1,2,168,87,608.54,22,551.51
43,1,1.7,171,75,611.65,11,650.9
75,1,3.7,176,70,564.67,14,517.92
92,1,2,170,85,560.5,20,599.1
118,1,2.7,178,84,657.26,6,705.49
139,1,2,174,90,620.53,18,835.67
161,1,2.3,176,82,708.23,13,803.47
185,1,1.7,174,94,575.73,20,746.08
207,1,3.3,168,85,558.4,12,681.69
6,1,3,176,85,689.39,11,664.89
190,2,2.3,176,76,670.67,12,527.72
26,2,3.3,171,87,574.32,17,604.7
211,2,3.7,175,88,560.77,12,837.07
117,2,1,178,80,745.79,10,881.86
201,2,2.3,172,88,424.91,16,726.48
111,2,5.7,178,83,660.68,16,636.9
19,2,2.3,174,98,587.44,19,627.1
135,2,1.7,178,80,597.02,9,754.48
15,2,3,176,90,602.03,12,771.28
Bennett 2,2,3,180,85,,11,699.89
Bennett x,2,3,180,85,,11,699.89
25,1,3.3,171,87,576.66,18,548.71
42,1,3,169,80,637.29,10,690.09
72,1,2.7,175,85,567.13,10,564.11
91,1,1.7,177,75,591.29,11,512
117,1,1.3,176,77,633.92,8,769.88
138,1,2.7,175,95,601.68,14,711.09
160,1,2.3,178,78,668.98,9,863.66
184,1,3.7,173,90,564.89,17,645.3
206,1,2.7,172,85,572.23,17,638.3
98,1,3.3,167,88,521.29,24,603.3
179,2,4,178,90,621.88,13,541.71
122,2,2.3,179,87,616.78,12,659.29
17,2,2.7,177,92,543.94,13,659.29
99,2,2.3,174,93,583.24,19,730.68
192,2,2,176,95,639.94,19,733.48
34,2,4.7,179,94,595.56,13,736.28
58,2,1.7,180,90,657,9,593.51
141,2,2.5,175,92,524.37,17,571.11
172,2,1.7,179,87,644.73,10,671.89
208,2,5,175,85,651.27,16,634.1
Lancer,1,9.3,179,84,475.52,14,669.09
24,1,2,175,82,557.14,10,450.73
41,1,1,179,88,660.99,15,653.7
71,1,2,174,95,573.02,17,520.72
90,1,5,179,88,632.03,16,712.49
114,1,2,176,73,667.12,12,667.69
137,1,3.7,176,95,605.53,25,726.48
159,1,1.7,176,85,701.79,8,776.88
183,1,7,173,80,559.4,11,620.1
205,1,2,175,88,503.46,15,689
ss1006,1,4.3,179,85,520.35,16,520.72
Bennett 1,2,3,179,80,,10,816.07
25,2,3.3,175,80,568.11,13,585.11
72,2,2.7,176,95,626.75,14,746.08
186,2,2,181,77,550,16,694.29
158,2,3.7,180,93,596.06,13,796.47
184,2,4.7,175,90,578.72,16,662.09
38,2,3,177,70,551.13,12,557.11
71,2,2,175,103,628.04,14,554.31
196,2,1,175,93,610.13,16,715.29
42,2,5,173,92,668.72,14,744.68
Sceptre,1,2.7,171,80,520.52,13,800.67
23,1,1.3,171,77,569.4,16,568.31
40,1,3.7,174,90,607.16,11,569.71
70,1,1.3,177,80,617.36,8,669.09
87,1,4,177,85,630.79,13,618.7
112,1,3,172,94,678.59,19,627.1
136,1,3,176,87,585.56,13,729.28
158,1,3.3,181,85,548.65,12,688.69
182,1,1,177,83,526.78,10,660.69
203,1,3,177,85,546.99,12,681.69
dlta ft,1,3.7,179,85,547.63,9,499.72
110,2,1.7,175,80,563.53,10,635.5
222,2,2.3,180,85,545.37,8,558.51
43,2,1.7,174,76,494.03,10,697.09
162,2,1.7,176,92,602.48,13,452.13
dlta ft,2,3.3,179,83,576.72,11,694.29
200,2,2.7,176,88,517.22,13,842.67
28,2,2,176,97,571.48,15,519.32
97,2,4,175,92,620.82,17,615.9
173,2,3,176,86,583.41,20,687.29
171,2,1.7,179,104,674.34,16,556
Harper,1,3.7,169,80,565.39,19,755.88
22,1,2,172,97,539.03,15,488.52
39,1,1.7,184,98,531.39,16,494.12
68,1,2.3,176,97,661.16,16,515.12
86,1,3,176,98,646.42,12,579.51
111,1,4.3,177,85,612.01,16,606.1
135,1,2,177,77,494.23,10,704.09
157,1,3.7,179,95,584.8,17,676.09
181,1,1,182,107,527.17,18,639.7
201,1,2.7,173,80,561.75,13,642.5
308,1,3.7,174,77,531.09,9,562.71
90,2,4.7,180,88,609.39,14,702.69
93,2,2.3,170,80,606.48,15,655.1
52,2,1,175,84,540.36,18,706.89
75,2,4.3,175,80,529.17,15,642.5
29,2,5,180,86,603.35,10,711.09
283,2,1.3,175,85,566.82,14,732.08
138,2,5.3,179,85,609.52,10,538.91
